Point_Count,Name,FromBreak,ToBreak,Selected_N,Prop_ID,Barbecue,Basketball,Dogfriend,Eateries,Playground,Tennis,skate,parknum,area,park_name,ORIG_FID,AnalysisArea,MEAN_price_clea,STD_price_clea
109,Location 1 : 10 - 15,10.0,15.0,Crotona Park,X010,1,6,2,3,12,1,0,X010,0.69527762,Crotona Park,1,0.72788026,51.41284404,37.40697375
34,Location 1 : 5 - 10,5.0,10.0,Crotona Park,X010,1,6,2,3,12,1,0,X010,0.69527762,Crotona Park,1,0.42433195,37.94117647,13.36422446
0,Location 1 : 0 - 5,0.0,5.0,Crotona Park,X010,1,6,2,3,12,1,0,X010,0.69527762,Crotona Park,1,0.14768721,,
